epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6336,0.82826,2.50353,1.34915,0.00333,1,0.83043,0.5426,0.28182,2.87522,0.88107,0.0001,0.0001,0.0001
2,79.1696,0.45895,1.99513,1.16356,0.00333,1,0.95876,0.7864,0.32803,2.6956,0.90445,0.000215644,0.000215644,0.000215644
3,102.455,0.34839,1.05084,1.02534,0.00333,1,0.78834,0.62488,0.56626,2.90384,1.09444,0.000326536,0.000326536,0.000326536
4,126.101,0.31363,0.8016,0.9637,0.84884,0.87956,0.9295,0.5963,0.61051,2.49671,1.10354,0.000432676,0.000432676,0.000432676
5,149.863,0.33183,0.81338,0.99592,0.97239,1,0.98489,0.80432,0.51352,2.34131,1.07858,0.000534064,0.000534064,0.000534064
6,173.852,0.31635,0.78025,0.98589,0.98503,1,0.99476,0.93513,0.3699,1.50438,0.9129,0.0006307,0.0006307,0.0006307
7,197.779,0.36915,0.85092,1.0466,0.96979,1,0.98509,0.88281,0.41762,1.5337,0.98529,0.000722584,0.000722584,0.000722584
8,221.557,0.32101,0.68867,0.98471,0.78219,1,0.91175,0.47045,0.92536,3.60039,1.44549,0.000809716,0.000809716,0.000809716
9,245.811,0.31954,0.65628,0.98239,0.84925,0.9759,0.91133,0.77723,0.51611,1.58109,1.10784,0.000892096,0.000892096,0.000892096
10,269.751,0.32133,0.67466,0.96206,0.99869,1,0.995,0.87797,0.51129,1.15348,1.1293,0.000969724,0.000969724,0.000969724
11,294.175,0.31837,0.63572,0.96081,0.99604,1,0.995,0.89303,0.50125,1.22088,1.09989,0.0010426,0.0010426,0.0010426
12,318.609,0.32909,0.63618,0.98794,0.80524,0.99633,0.87551,0.77439,0.45053,1.57211,1.05441,0.00111072,0.00111072,0.00111072
13,343.099,0.40565,0.78181,1.08863,0.87718,0.94654,0.94438,0.86314,0.35812,1.16492,0.86767,0.0011741,0.0011741,0.0011741
14,367.192,0.32715,0.62692,0.97783,0.99705,1,0.995,0.92994,0.32257,0.81696,0.82779,0.00123272,0.00123272,0.00123272
15,390.784,0.33502,0.66447,1.00891,0.99622,0.98795,0.99476,0.95694,0.30537,0.93654,0.82447,0.00128658,0.00128658,0.00128658
16,415.086,0.29895,0.57248,0.96242,0.91962,0.96386,0.98188,0.86198,0.47676,1.21721,1.01977,0.0013357,0.0013357,0.0013357
17,438.857,0.29743,0.54486,0.94725,0.84072,0.96386,0.94075,0.71567,0.65003,1.68676,1.13132,0.0013664,0.0013664,0.0013664
18,463.098,0.30576,0.55386,0.9489,0.97634,0.99422,0.9944,0.63663,0.76109,1.54267,1.25295,0.0013268,0.0013268,0.0013268
19,490.9,0.27482,0.52294,0.94565,0.98518,1,0.99488,0.89483,0.4491,0.96926,0.97298,0.0012872,0.0012872,0.0012872
